sample_index,anchor_ts_hour,split
0,2020-01-14 23:00:00+03:00,train
1,2020-01-15 00:00:00+03:00,train
2,2020-01-15 01:00:00+03:00,train
3,2020-01-15 02:00:00+03:00,train
4,2020-01-15 03:00:00+03:00,train
5,2020-01-15 04:00:00+03:00,train
6,2020-01-15 05:00:00+03:00,train
7,2020-01-15 06:00:00+03:00,train
8,2020-01-15 07:00:00+03:00,train
9,2020-01-15 08:00:00+03:00,train
10,2020-01-15 09:00:00+03:00,train
11,2020-01-15 10:00:00+03:00,train
12,2020-01-15 11:00:00+03:00,train
13,2020-01-15 12:00:00+03:00,train
14,2020-01-15 13:00:00+03:00,train
15,2020-01-15 14:00:00+03:00,train
16,2020-01-15 15:00:00+03:00,train
17,2020-01-15 16:00:00+03:00,train
18,2020-01-15 17:00:00+03:00,train
19,2020-01-15 18:00:00+03:00,train
20,2020-01-15 19:00:00+03:00,train
21,2020-01-15 20:00:00+03:00,train
22,2020-01-15 21:00:00+03:00,train
23,2020-01-15 22:00:00+03:00,train
24,2020-01-15 23:00:00+03:00,train
25,2020-01-16 00:00:00+03:00,train
26,2020-01-16 01:00:00+03:00,train
27,2020-01-16 02:00:00+03:00,train
28,2020-01-16 03:00:00+03:00,train
29,2020-01-16 04:00:00+03:00,train
30,2020-01-16 05:00:00+03:00,train
31,2020-01-16 06:00:00+03:00,train
32,2020-01-16 07:00:00+03:00,train
33,2020-01-16 08:00:00+03:00,train
34,2020-01-16 09:00:00+03:00,train
35,2020-01-16 10:00:00+03:00,train
36,2020-01-16 11:00:00+03:00,train
37,2020-01-16 12:00:00+03:00,train
38,2020-01-16 13:00:00+03:00,train
39,2020-01-16 14:00:00+03:00,train
40,2020-01-16 15:00:00+03:00,train
41,2020-01-16 16:00:00+03:00,train
42,2020-01-16 17:00:00+03:00,train
43,2020-01-16 18:00:00+03:00,train
44,2020-01-16 19:00:00+03:00,train
45,2020-01-16 20:00:00+03:00,train
46,2020-01-16 21:00:00+03:00,train
47,2020-01-16 22:00:00+03:00,train
48,2020-01-16 23:00:00+03:00,train
49,2020-01-17 00:00:00+03:00,train
50,2020-01-17 01:00:00+03:00,train
51,2020-01-17 02:00:00+03:00,train
52,2020-01-17 03:00:00+03:00,train
53,2020-01-17 04:00:00+03:00,train
54,2020-01-17 05:00:00+03:00,train
55,2020-01-17 06:00:00+03:00,train
56,2020-01-17 07:00:00+03:00,train
57,2020-01-17 08:00:00+03:00,train
58,2020-01-17 09:00:00+03:00,train
59,2020-01-17 10:00:00+03:00,train
60,2020-01-17 11:00:00+03:00,train
61,2020-01-17 12:00:00+03:00,train
62,2020-01-17 13:00:00+03:00,train
63,2020-01-17 14:00:00+03:00,train
64,2020-01-17 15:00:00+03:00,train
65,2020-01-17 16:00:00+03:00,train
66,2020-01-17 17:00:00+03:00,train
67,2020-01-17 18:00:00+03:00,train
68,2020-01-17 19:00:00+03:00,train
69,2020-01-17 20:00:00+03:00,train
70,2020-01-17 21:00:00+03:00,train
71,2020-01-17 22:00:00+03:00,train
72,2020-01-17 23:00:00+03:00,train
73,2020-01-18 00:00:00+03:00,train
74,2020-01-18 01:00:00+03:00,train
75,2020-01-18 02:00:00+03:00,train
76,2020-01-18 03:00:00+03:00,train
77,2020-01-18 04:00:00+03:00,train
78,2020-01-18 05:00:00+03:00,train
79,2020-01-18 06:00:00+03:00,train
80,2020-01-18 07:00:00+03:00,train
81,2020-01-18 08:00:00+03:00,train
82,2020-01-18 09:00:00+03:00,train
83,2020-01-18 10:00:00+03:00,train
84,2020-01-18 11:00:00+03:00,train
85,2020-01-18 12:00:00+03:00,train
86,2020-01-18 13:00:00+03:00,train
87,2020-01-18 14:00:00+03:00,train
88,2020-01-18 15:00:00+03:00,train
89,2020-01-18 16:00:00+03:00,train
90,2020-01-18 17:00:00+03:00,train
91,2020-01-18 18:00:00+03:00,train
92,2020-01-18 19:00:00+03:00,train
93,2020-01-18 20:00:00+03:00,train
94,2020-01-18 21:00:00+03:00,train
95,2020-01-18 22:00:00+03:00,train
96,2020-01-18 23:00:00+03:00,train
97,2020-01-19 00:00:00+03:00,train
98,2020-01-19 01:00:00+03:00,train
99,2020-01-19 02:00:00+03:00,train
100,2020-01-19 03:00:00+03:00,train
101,2020-01-19 04:00:00+03:00,train
102,2020-01-19 05:00:00+03:00,train
103,2020-01-19 06:00:00+03:00,train
104,2020-01-19 07:00:00+03:00,train
105,2020-01-19 08:00:00+03:00,train
106,2020-01-19 09:00:00+03:00,train
107,2020-01-19 10:00:00+03:00,train
108,2020-01-19 11:00:00+03:00,train
109,2020-01-19 12:00:00+03:00,train
110,2020-01-19 13:00:00+03:00,train
111,2020-01-19 14:00:00+03:00,train
112,2020-01-19 15:00:00+03:00,train
113,2020-01-19 16:00:00+03:00,train
114,2020-01-19 17:00:00+03:00,train
115,2020-01-19 18:00:00+03:00,train
116,2020-01-19 19:00:00+03:00,train
117,2020-01-19 20:00:00+03:00,train
118,2020-01-19 21:00:00+03:00,train
119,2020-01-19 22:00:00+03:00,train
120,2020-01-19 23:00:00+03:00,train
121,2020-01-20 00:00:00+03:00,train
122,2020-01-20 01:00:00+03:00,train
123,2020-01-20 02:00:00+03:00,train
124,2020-01-20 03:00:00+03:00,train
125,2020-01-20 04:00:00+03:00,train
126,2020-01-20 05:00:00+03:00,train
127,2020-01-20 06:00:00+03:00,train
128,2020-01-20 07:00:00+03:00,train
129,2020-01-20 08:00:00+03:00,train
130,2020-01-20 09:00:00+03:00,train
131,2020-01-20 10:00:00+03:00,train
132,2020-01-20 11:00:00+03:00,train
133,2020-01-20 12:00:00+03:00,train
134,2020-01-20 13:00:00+03:00,train
135,2020-01-20 14:00:00+03:00,train
136,2020-01-20 15:00:00+03:00,train
137,2020-01-20 16:00:00+03:00,train
138,2020-01-20 17:00:00+03:00,train
139,2020-01-20 18:00:00+03:00,train
140,2020-01-20 19:00:00+03:00,train
141,2020-01-20 20:00:00+03:00,train
142,2020-01-20 21:00:00+03:00,train
143,2020-01-20 22:00:00+03:00,train
144,2020-01-20 23:00:00+03:00,train
145,2020-01-21 00:00:00+03:00,train
146,2020-01-21 01:00:00+03:00,train
147,2020-01-21 02:00:00+03:00,train
148,2020-01-21 03:00:00+03:00,train
149,2020-01-21 04:00:00+03:00,train
150,2020-01-21 05:00:00+03:00,train
151,2020-01-21 06:00:00+03:00,train
152,2020-01-21 07:00:00+03:00,train
153,2020-01-21 08:00:00+03:00,train
154,2020-01-21 09:00:00+03:00,train
155,2020-01-21 10:00:00+03:00,train
156,2020-01-21 11:00:00+03:00,train
157,2020-01-21 12:00:00+03:00,train
158,2020-01-21 13:00:00+03:00,train
159,2020-01-21 14:00:00+03:00,train
160,2020-01-21 15:00:00+03:00,train
161,2020-01-21 16:00:00+03:00,train
162,2020-01-21 17:00:00+03:00,train
163,2020-01-21 18:00:00+03:00,train
164,2020-01-21 19:00:00+03:00,train
165,2020-01-21 20:00:00+03:00,train
166,2020-01-21 21:00:00+03:00,train
167,2020-01-21 22:00:00+03:00,train
168,2020-01-21 23:00:00+03:00,train
169,2020-01-22 00:00:00+03:00,train
170,2020-01-22 01:00:00+03:00,train
171,2020-01-22 02:00:00+03:00,train
172,2020-01-22 03:00:00+03:00,train
173,2020-01-22 04:00:00+03:00,train
174,2020-01-22 05:00:00+03:00,train
175,2020-01-22 06:00:00+03:00,train
176,2020-01-22 07:00:00+03:00,train
177,2020-01-22 08:00:00+03:00,train
178,2020-01-22 09:00:00+03:00,train
179,2020-01-22 10:00:00+03:00,train
180,2020-01-22 11:00:00+03:00,train
181,2020-01-22 12:00:00+03:00,train
182,2020-01-22 13:00:00+03:00,train
183,2020-01-22 14:00:00+03:00,train
184,2020-01-22 15:00:00+03:00,train
185,2020-01-22 16:00:00+03:00,train
186,2020-01-22 17:00:00+03:00,train
187,2020-01-22 18:00:00+03:00,train
188,2020-01-22 19:00:00+03:00,train
189,2020-01-22 20:00:00+03:00,train
190,2020-01-22 21:00:00+03:00,train
191,2020-01-22 22:00:00+03:00,train
192,2020-01-22 23:00:00+03:00,train
193,2020-01-23 00:00:00+03:00,train
194,2020-01-23 01:00:00+03:00,train
195,2020-01-23 02:00:00+03:00,train
196,2020-01-23 03:00:00+03:00,train
197,2020-01-23 04:00:00+03:00,train
198,2020-01-23 05:00:00+03:00,train
199,2020-01-23 06:00:00+03:00,train
200,2020-01-23 07:00:00+03:00,train
201,2020-01-23 08:00:00+03:00,train
202,2020-01-23 09:00:00+03:00,train
203,2020-01-23 10:00:00+03:00,train
204,2020-01-23 11:00:00+03:00,train
205,2020-01-23 12:00:00+03:00,train
206,2020-01-23 13:00:00+03:00,train
207,2020-01-23 14:00:00+03:00,train
208,2020-01-23 15:00:00+03:00,train
209,2020-01-23 16:00:00+03:00,train
210,2020-01-23 17:00:00+03:00,train
211,2020-01-23 18:00:00+03:00,train
212,2020-01-23 19:00:00+03:00,train
213,2020-01-23 20:00:00+03:00,train
214,2020-01-23 21:00:00+03:00,train
215,2020-01-23 22:00:00+03:00,train
216,2020-01-23 23:00:00+03:00,train
217,2020-01-24 00:00:00+03:00,train
218,2020-01-24 01:00:00+03:00,train
219,2020-01-24 02:00:00+03:00,train
220,2020-01-24 03:00:00+03:00,train
221,2020-01-24 04:00:00+03:00,train
222,2020-01-24 05:00:00+03:00,train
223,2020-01-24 06:00:00+03:00,train
224,2020-01-24 07:00:00+03:00,train
225,2020-01-24 08:00:00+03:00,train
226,2020-01-24 09:00:00+03:00,train
227,2020-01-24 10:00:00+03:00,train
228,2020-01-24 11:00:00+03:00,train
229,2020-01-24 12:00:00+03:00,train
230,2020-01-24 13:00:00+03:00,train
231,2020-01-24 14:00:00+03:00,train
232,2020-01-24 15:00:00+03:00,train
233,2020-01-24 16:00:00+03:00,train
234,2020-01-24 17:00:00+03:00,train
235,2020-01-24 18:00:00+03:00,train
236,2020-01-24 19:00:00+03:00,train
237,2020-01-24 20:00:00+03:00,train
238,2020-01-24 21:00:00+03:00,train
239,2020-01-24 22:00:00+03:00,train
240,2020-01-24 23:00:00+03:00,train
241,2020-01-25 00:00:00+03:00,train
242,2020-01-25 01:00:00+03:00,train
243,2020-01-25 02:00:00+03:00,train
244,2020-01-25 03:00:00+03:00,train
245,2020-01-25 04:00:00+03:00,train
246,2020-01-25 05:00:00+03:00,train
247,2020-01-25 06:00:00+03:00,train
248,2020-01-25 07:00:00+03:00,train
249,2020-01-25 08:00:00+03:00,train
250,2020-01-25 09:00:00+03:00,train
251,2020-01-25 10:00:00+03:00,train
252,2020-01-25 11:00:00+03:00,train
253,2020-01-25 12:00:00+03:00,train
254,2020-01-25 13:00:00+03:00,train
255,2020-01-25 14:00:00+03:00,train
256,2020-01-25 15:00:00+03:00,train
257,2020-01-25 16:00:00+03:00,train
258,2020-01-25 17:00:00+03:00,train
259,2020-01-25 18:00:00+03:00,train
260,2020-01-25 19:00:00+03:00,train
261,2020-01-25 20:00:00+03:00,train
262,2020-01-25 21:00:00+03:00,train
263,2020-01-25 22:00:00+03:00,train
264,2020-01-25 23:00:00+03:00,train
265,2020-01-26 00:00:00+03:00,train
266,2020-01-26 01:00:00+03:00,train
267,2020-01-26 02:00:00+03:00,train
268,2020-01-26 03:00:00+03:00,train
269,2020-01-26 04:00:00+03:00,train
270,2020-01-26 05:00:00+03:00,train
271,2020-01-26 06:00:00+03:00,train
272,2020-01-26 07:00:00+03:00,train
273,2020-01-26 08:00:00+03:00,train
274,2020-01-26 09:00:00+03:00,train
275,2020-01-26 10:00:00+03:00,train
276,2020-01-26 11:00:00+03:00,train
277,2020-01-26 12:00:00+03:00,train
278,2020-01-26 13:00:00+03:00,train
279,2020-01-26 14:00:00+03:00,train
280,2020-01-26 15:00:00+03:00,train
281,2020-01-26 16:00:00+03:00,train
282,2020-01-26 17:00:00+03:00,train
283,2020-01-26 18:00:00+03:00,train
284,2020-01-26 19:00:00+03:00,train
285,2020-01-26 20:00:00+03:00,train
286,2020-01-26 21:00:00+03:00,train
287,2020-01-26 22:00:00+03:00,train
288,2020-01-26 23:00:00+03:00,train
289,2020-01-27 00:00:00+03:00,train
290,2020-01-27 01:00:00+03:00,train
291,2020-01-27 02:00:00+03:00,train
292,2020-01-27 03:00:00+03:00,train
293,2020-01-27 04:00:00+03:00,train
